Add to Cart Button,Add to Cart Button
Add to Cart,Add to Cart
Block separator,Block separator
Blog Posts,Blog Posts
Categories,Categories
Category Search Results Sort Order,Category Search Results Sort Order
Category Search Results,Category Search Results
Close,Close
CMS Search Result Fields,CMS Search Result Fields
CMS Pages,CMS Pages
Enable,Enable
Enable search terms highlighting,Enable search terms highlighting
Filter CMS Pages,Filter CMS Pages
More results,More results
Name,Name
Price,Price
Product Image Size,Product Image Size
Product Image,Product Image
Product Name,Product Name
Product Search Result Fields,Product Search Result Fields
Product Search Results Sort Order,Product Search Results Sort Order
Product Search Results,Product Search Results
Product Short Description Size,Product Short Description Size
Product Title Size,Product Title Size
Products,Products
Relevance,Relevance
Reviews Rating,Reviews Rating
Search Autocomplete,Search Autocomplete
Search entire store here...,Search entire store here...
Search Categories,Search Categories
Search CMS,Search CMS
"Search results for '%s'","Search results for '%s'"
Search Products,Search Products
Short Description,Short Description
Suggested Searches,Suggested Searches
There are no results.,There are no results.
